SEXO,EDAD,INGRESO,SCORE_DATACREDITO,ANT_SF,TIENE_HIPOTECA,ULTIMAPERTURA,SALDO_FIJO,SALDO_ROT,ESTADO_MORA_FIN,proba_mora,aprobacion,aprobacion_recalibrada
0,34,3.198587602,885,2.58,0,5,50.90389744,5.084111538,0.0,0.08254716981132075,1,0
1,38,14.17350742,840,6.83,-1,-1,89.31782436,13.30719744,0.0,0.24358974358974358,1,0
0,40,1.776503919,739,4.33,0,14,73.45104103,28.88147821,0.115384615,0.5416666666666666,1,0
1,70,4.720833525,336,1.83,0,6,89.50041538,46.10542436,1.641025641,0.8394698085419735,0,0
1,67,1.50463498,856,31.0,0,-1,0.0,6.800074359,0.0,0.07563025210084033,1,0
1,38,5.696039518,894,9.92,0,-1,0.063888462,24.95511538,0.0,0.08254716981132075,1,0
0,50,3.790755575,894,2.33,0,29,15.25567436,10.34664487,0.0,0.08254716981132075,1,0
0,34,7.893004713,844,1.42,1,3,92.96456795,16.84263333,0.0,0.24358974358974358,1,0
0,24,1.284498187,666,2.42,-1,19,0.0,65.70264487,0.0,0.5805626598465473,1,0
0,65,9.487895778,966,44.17,-1,60,0.0,17.87424744,0.012820513,0.08254716981132075,1,0
0,50,9.068535187,922,13.5,1,5,0.0,0.20624359,0.0,0.08254716981132075,1,0
1,26,1.859055216,780,2.17,0,-1,77.84900769,37.45538462,0.0,0.3663624511082138,1,0
1,59,2.369772576,827,12.17,0,36,0.0,75.01124103,0.0,0.24358974358974358,1,0
0,39,3.18978213,794,7.58,0,22,76.61858846,49.8463641,0.0,0.3663624511082138,1,0
0,36,3.690593334,913,10.58,1,4,13.37059231,5.337734615,0.0,0.08254716981132075,1,0
0,33,2.159541939,794,6.08,0,-1,76.50887949,86.49901026,0.0,0.3663624511082138,1,0
1,42,1.859055216,880,13.83,-1,60,10.34575513,15.38461538,0.0,0.07563025210084033,1,0
0,49,6.507243601,812,24.42,0,6,77.97311026,47.70002051,0.0,0.3663624511082138,1,0
0,49,12.48725958,835,14.42,0,3,45.83927692,39.11590385,0.41025641,0.37719298245614036,1,0
0,48,5.340518598,922,27.08,0,-1,62.0763141,6.870592308,0.0,0.08254716981132075,1,0
1,59,4.720833525,798,31.25,0,14,85.61797179,22.91843205,0.012820513,0.3663624511082138,1,0
0,41,11.55608095,844,6.67,0,12,51.72688205,39.02615256,0.153846154,0.24358974358974358,1,0
1,42,1.297706394,759,7.42,-1,-1,0.0,2.213671795,0.0,0.3663624511082138,1,0
0,35,1.950411986,716,1.17,0,10,84.74784615,64.08461538,0.0,0.5805626598465473,1,0
1,47,2.168347411,798,1.83,0,3,45.54070769,0.0,0.0,0.3663624511082138,1,0
0,38,2.150736467,821,2.0,1,11,0.0,68.09443077,0.0,0.3663624511082138,1,0
1,45,1.648824579,840,0.33,0,5,12.8205,0.0,0.0,0.24358974358974358,1,0
1,54,2.982853545,908,16.92,0,60,32.26755897,0.0,0.0,0.08254716981132075,1,0
0,47,2.351060949,812,8.33,1,8,81.68837564,40.50835128,0.0,0.3663624511082138,1,0
0,37,1.572877386,735,0.0,0,-1,57.92267436,1.207692308,0.0,0.3663624511082138,1,0
0,35,2.533774487,661,0.67,0,9,93.08061538,63.06153846,0.487179487,0.6917098445595855,0,0
0,33,3.790755575,730,9.25,1,10,13.22866154,9.961538462,0.0,0.5805626598465473,1,0
0,25,1.512339767,725,0.0,0,-1,9.358967949,0.0,0.0,0.5805626598465473,1,0
1,56,3.836984302,661,5.75,1,29,14.86361538,25.24900128,0.0,0.5805626598465473,1,0
0,56,14.26486419,830,9.33,-1,60,43.62577436,31.99424744,0.115384615,0.24358974358974358,1,0
0,35,6.921100772,689,11.92,1,3,64.20965897,41.79045769,0.0,0.5805626598465473,1,0
0,49,7.473644122,743,8.17,1,54,18.09910256,27.39177692,0.0,0.3663624511082138,1,0
0,39,3.736822061,744,1.08,0,8,87.49428974,21.72130513,0.0,0.3663624511082138,1,0
0,28,2.497451916,867,6.92,0,5,53.45621154,12.75951795,0.0,0.24358974358974358,1,0
0,28,3.937146542,894,5.58,-1,8,90.6645641,15.00128205,0.0,0.08254716981132075,1,0
0,38,4.675705483,666,1.92,0,2,95.06172051,24.07918718,0.0,0.5805626598465473,1,0
0,57,6.261791076,716,4.08,0,9,91.32295513,41.43404487,0.0,0.5805626598465473,1,0
1,33,3.542000999,856,12.75,0,60,45.88720385,63.32434359,0.0,0.07563025210084033,1,0
1,22,1.220658517,589,0.42,0,6,41.54558462,6.153846154,0.0,0.8394698085419735,0,0
1,39,5.184221475,798,12.17,0,4,91.23762436,72.5992359,0.0,0.3663624511082138,1,0
0,41,1.403372055,593,0.17,0,-1,25.92147179,0.085461538,0.0,0.8394698085419735,0,0
0,35,8.531401412,817,7.67,1,14,0.0,61.75985385,0.0,0.3663624511082138,1,0
0,40,9.370122594,881,3.08,-1,9,84.91364103,14.52663077,0.0,0.24358974358974358,1,0
1,47,2.915711823,418,0.58,0,8,99.58127436,0.0,5.0,0.8394698085419735,0,0
1,40,1.87666616,735,0.0,0,-1,4.122692308,0.0,0.0,0.3663624511082138,1,0
0,35,4.593154186,826,12.42,0,2,88.62003077,26.72237564,0.0,0.24358974358974358,1,0
1,45,3.745627532,762,1.67,0,12,75.13365897,78.9241141,0.0,0.3663624511082138,1,0
1,34,2.789133167,605,1.83,0,17,101.7254808,99.16686667,0.217948718,0.7241379310344828,0,0
0,41,2.834261209,730,3.67,0,45,90.75427051,99.55249487,0.025641026,0.5805626598465473,1,0
1,46,3.262427272,966,2.25,0,28,4.991817949,5.041794872,0.0,0.08254716981132075,1,0
1,34,1.74898682,812,1.67,0,19,80.70011923,14.9615359,0.0,0.3663624511082138,1,0
0,39,2.87058378,687,5.33,0,8,88.24714103,59.58433846,0.0,0.5805626598465473,1,0
0,34,4.501797416,745,2.5,0,8,52.22706154,42.58132179,0.0,0.3663624511082138,1,0
1,57,5.76868466,835,13.0,0,10,79.98351282,40.11702051,0.0,0.07563025210084033,1,0
0,38,11.35685715,643,12.33,0,9,45.20400897,72.81872821,0.115384615,0.6917098445595855,0,0
0,41,2.050574226,616,6.17,0,18,9.034891026,26.24956667,0.012820513,0.7241379310344828,0,0
0,40,1.995540028,836,0.67,0,-1,0.0,67.72435897,0.0,0.24358974358974358,1,0
1,34,1.457305569,771,0.0,0,-1,16.03649231,0.0,0.0,0.3663624511082138,1,0
0,46,3.117136988,690,4.08,0,4,87.20708846,66.54464103,0.128205128,0.6917098445595855,0,0
1,34,10.44549083,844,7.92,1,3,9.069519231,56.11040769,0.102564103,0.24358974358974358,1,0
1,50,2.687870242,870,4.5,0,38,49.72333718,51.0217,0.0,0.24358974358974358,1,0
1,38,3.31746147,776,8.83,0,15,33.79596795,62.23122179,0.217948718,0.5416666666666666,1,0
0,31,7.601323462,822,11.75,0,8,81.0793859,26.15763974,0.0,0.24358974358974358,1,0
1,65,2.606419629,942,7.42,0,16,0.0,14.95876667,0.0,0.08254716981132075,1,0
1,32,1.795215546,858,0.0,0,-1,221.8251577,0.0,0.0,0.24358974358974358,1,0
0,64,3.81717199,923,13.67,0,48,0.0,4.858791026,0.0,0.08254716981132075,1,0
0,35,2.99826312,875,2.58,0,27,89.28014103,1.530892308,0.0,0.24358974358974358,1,0
0,37,1.576179437,534,0.08,0,-1,0.0,24.73626154,0.0,0.8394698085419735,0,0
1,67,6.479726502,876,11.33,0,3,69.29586538,22.82142051,0.0,0.24358974358974358,1,0
1,40,1.594891065,844,0.0,0,-1,0.0,0.0,0.0,0.24358974358974358,1,0
1,52,3.326266942,753,6.25,0,30,83.83848974,96.77543974,0.128205128,0.5416666666666666,1,0
0,52,9.551735448,889,12.25,1,26,0.0,9.942594872,0.0,0.08254716981132075,1,0
1,41,7.218285442,771,16.75,0,26,0.0,45.91482179,0.08974359,0.5416666666666666,1,0
1,31,7.956844383,794,3.17,0,4,47.70524231,47.0738641,0.0,0.3663624511082138,1,0
0,36,1.986734556,704,2.83,1,24,75.46240641,32.35918974,0.012820513,0.5805626598465473,1,0
1,35,2.25970418,748,6.17,0,2,15.60506154,52.80057179,0.0,0.3663624511082138,1,0
0,22,1.822732646,870,0.92,0,12,64.28729615,37.97115385,0.0,0.24358974358974358,1,0
1,60,5.286585083,885,15.5,0,6,15.37412436,20.48064615,0.0,0.08254716981132075,1,0
1,31,1.81282649,798,1.17,0,15,87.92433205,15.00128205,0.0,0.3663624511082138,1,0
1,56,5.732362089,793,16.75,0,20,91.49130385,72.8453359,0.115384615,0.5416666666666666,1,0
0,32,2.989457648,634,3.58,-1,21,86.82732949,68.22806026,0.0,0.5805626598465473,1,0
0,36,1.695053306,691,1.0,0,2,57.86914103,0.0,0.0,0.5805626598465473,1,0
1,39,3.2536218,721,3.0,0,4,94.68658205,62.104,0.0,0.5805626598465473,1,0
0,59,1.959217457,899,2.42,0,30,41.69660513,2.567758974,0.0,0.08254716981132075,1,0
1,61,2.296026751,826,9.92,0,60,55.35466026,57.03340256,0.846153846,0.37719298245614036,1,0
0,32,7.984361482,827,8.17,1,46,70.61452051,32.52461154,0.0,0.24358974358974358,1,0
1,72,6.431296407,894,12.92,0,14,5.804487179,18.35700769,0.0,0.08254716981132075,1,0
1,75,3.12594246,785,19.0,0,7,90.73466026,97.17612949,0.0,0.3663624511082138,1,0
1,62,18.24713877,889,21.92,1,60,0.0,24.21397436,0.0,0.08254716981132075,1,0
1,70,4.056020411,909,8.75,0,60,3.809826923,0.0,0.0,0.08254716981132075,1,0
0,37,3.462751753,858,0.67,0,9,21.36166154,0.0,0.0,0.24358974358974358,1,0
1,67,1.758892976,876,10.25,0,6,81.25128333,28.32408462,0.0,0.24358974358974358,1,0
1,29,3.963562958,803,0.5,0,-1,91.90285256,0.0,0.0,0.3663624511082138,1,0
0,61,7.984361482,890,26.75,0,2,17.56647692,8.956973077,0.0,0.08254716981132075,1,0
1,43,6.904590512,853,4.08,0,-1,31.20382308,0.0,0.102564103,0.24358974358974358,1,0
0,47,1.88216958,617,12.42,1,60,32.89477564,59.02750385,0.0,0.7241379310344828,0,0
0,41,9.68822026,583,8.08,0,31,0.607169231,84.76028333,0.346153846,0.8394698085419735,0,0
1,51,15.71336428,849,10.58,1,5,81.61751795,25.77123333,0.0,0.24358974358974358,1,0
1,31,1.804021018,648,1.08,0,14,57.20820513,0.0,0.0,0.5805626598465473,1,0
1,35,1.622408164,876,7.67,0,5,83.10157179,1.533555128,0.0,0.24358974358974358,1,0
0,35,5.650911476,860,8.33,1,44,61.30528462,0.280769231,2.256410256,0.37719298245614036,1,0
1,35,1.512339767,575,1.0,0,2,73.15998077,0.0,1.461538462,0.8394698085419735,0,0
1,45,3.372495668,894,12.25,0,4,27.88846154,16.77536026,0.0,0.08254716981132075,1,0
0,27,2.396188991,744,0.92,0,-1,95.04465128,0.0,0.0,0.3663624511082138,1,0
1,38,10.59078111,894,10.25,-1,9,0.0,40.55223974,0.0,0.08254716981132075,1,0
0,38,4.501797416,729,3.42,0,26,14.36898462,37.66295385,1.538461538,0.6917098445595855,0,0
1,55,5.83252433,952,14.42,0,60,0.0,53.36858846,0.012820513,0.08254716981132075,1,0
1,57,2.06818517,899,12.17,0,60,2.038846154,0.0,0.0,0.08254716981132075,1,0
1,40,2.32354385,830,8.17,0,49,71.61887692,11.00347436,0.0,0.24358974358974358,1,0
1,39,2.260804864,639,0.0,0,-1,0.0,0.0,0.0,0.5805626598465473,1,0
1,34,1.590488329,386,0.0,0,-1,313.3060936,0.0,6.0,0.8394698085419735,0,0
0,39,2.779227011,858,7.75,0,12,95.16505641,20.68752436,0.08974359,0.24358974358974358,1,0
0,40,1.867860688,853,9.58,-1,5,34.18460769,30.92958333,0.102564103,0.24358974358974358,1,0
0,39,2.442417718,876,12.08,-1,7,0.0,4.92665,0.0,0.24358974358974358,1,0
0,47,5.1412948,862,12.92,0,17,58.92462564,53.19530769,0.0,0.07563025210084033,1,0
0,38,22.91403878,716,9.17,0,2,90.93076282,94.11574487,0.0,0.5805626598465473,1,0
1,64,13.48998268,666,17.0,0,2,94.99211282,96.10794231,0.166666667,0.6917098445595855,0,0
0,61,3.545303051,780,5.67,0,19,0.0,16.50752179,0.0,0.3663624511082138,1,0
1,55,1.41878163,774,1.67,0,-1,4.481596154,51.0974359,0.0,0.3663624511082138,1,0
0,36,8.065812095,812,10.75,0,4,58.70623846,56.53567436,0.0,0.3663624511082138,1,0
0,38,26.39660285,858,9.5,1,5,54.75297436,14.25397564,0.115384615,0.24358974358974358,1,0
0,40,3.536497579,583,0.67,0,4,93.22087949,44.56030256,0.384615385,0.8394698085419735,0,0
1,33,5.696039518,947,1.5,0,17,0.691632051,11.50195256,0.243589744,0.08254716981132075,1,0
1,26,2.460028661,785,4.75,0,29,90.34549103,46.00118462,0.0,0.3663624511082138,1,0
0,42,5.185322159,789,12.5,1,28,144.2231231,117.5212615,0.692307692,0.5416666666666666,1,0
1,38,2.396188991,666,0.0,0,-1,53.44119231,0.0,0.0,0.5805626598465473,1,0
1,28,4.437957746,602,0.58,0,8,100.6740679,0.0,0.307692308,0.7241379310344828,0,0
1,42,2.682366822,904,14.58,1,60,26.06135897,3.495260256,0.0,0.08254716981132075,1,0
1,21,1.695053306,689,0.67,0,3,34.23827051,36.43466154,0.0,0.5805626598465473,1,0
0,38,6.434598459,661,7.5,0,4,87.90365385,75.43254103,0.0,0.5805626598465473,1,0
1,21,1.576179437,862,2.42,0,5,76.58521026,0.0,0.0,0.24358974358974358,1,0
1,55,3.134747932,657,2.67,0,12,0.0,82.70360513,0.0,0.5805626598465473,1,0
1,43,4.06702725,827,6.83,0,38,79.45482179,45.90931538,0.0,0.24358974358974358,1,0
0,51,3.153459559,890,13.08,0,60,0.0,6.47419359,0.0,0.08254716981132075,1,0
1,51,3.453946282,803,3.33,0,3,92.55905385,50.04432051,0.0,0.3663624511082138,1,0
0,59,2.789133167,656,5.75,0,29,93.1918641,34.77377949,0.307692308,0.6917098445595855,0,0
0,44,4.315781826,904,8.25,0,19,60.99988974,26.7288641,0.0,0.08254716981132075,1,0
0,44,2.086896797,443,5.08,0,25,63.16568462,62.50020128,0.782051282,0.8394698085419735,0,0
0,59,6.079077538,917,24.42,0,5,16.06815897,12.2304641,0.0,0.08254716981132075,1,0
0,34,1.420982998,851,8.33,0,60,0.0,0.0,0.0,0.24358974358974358,1,0
1,31,3.654270763,652,2.5,0,31,87.43270385,0.0,0.525641026,0.6917098445595855,0,0
0,41,2.648245619,757,1.75,-1,22,85.87801795,0.0,0.0,0.3663624511082138,1,0
0,32,6.044956335,602,5.92,-1,14,97.03551154,85.29619487,0.564102564,0.7241379310344828,0,0
0,57,4.201310694,872,8.75,0,6,0.0,0.633842308,0.0,0.24358974358974358,1,0
0,40,4.146276496,712,6.17,0,7,92.31446538,43.54457436,0.0,0.5805626598465473,1,0
1,58,16.44091639,826,12.58,0,8,76.61920128,35.64638846,0.307692308,0.37719298245614036,1,0
0,48,15.57687947,766,11.67,0,2,50.73274744,60.44335256,0.0,0.3663624511082138,1,0
1,41,4.337795506,657,7.0,-1,31,23.18251667,98.38908718,0.0,0.5805626598465473,1,0
1,38,1.959217457,443,1.25,0,-1,52.67395128,45.81348205,1.692307692,0.8394698085419735,0,0
1,43,5.414264423,913,9.33,0,3,23.40221026,11.09826795,0.0,0.08254716981132075,1,0
1,36,14.12727869,794,17.58,-1,22,52.13613077,24.08059103,0.307692308,0.5416666666666666,1,0
1,35,4.156182651,675,7.08,0,16,25.54336538,53.67701795,0.0,0.5805626598465473,1,0
0,26,2.287221279,794,2.17,0,8,79.5504641,21.04854744,0.0,0.3663624511082138,1,0
0,35,4.156182651,917,1.58,0,4,93.26388846,2.818435897,0.0,0.08254716981132075,1,0
0,41,1.467211725,640,1.0,0,13,19.27413718,0.0,5.0,0.6917098445595855,0,0
1,39,2.697776398,826,6.42,-1,45,68.25592436,59.41639872,0.0,0.24358974358974358,1,0
1,51,11.51205359,780,4.83,0,59,93.35476667,57.13711923,0.0,0.3663624511082138,1,0
1,42,5.376841169,680,6.17,0,14,159.0076962,79.01950128,0.0,0.5805626598465473,1,0
0,29,1.740181348,739,0.0,0,-1,0.0,5.580351282,0.0,0.3663624511082138,1,0
0,39,4.037308783,771,5.08,-1,3,91.64757821,23.13906026,0.333333333,0.5416666666666666,1,0
0,43,4.273955836,942,5.92,0,-1,0.0,11.3419359,0.0,0.08254716981132075,1,0
1,49,2.178253566,687,10.42,0,50,74.50578205,93.48582051,0.0,0.5805626598465473,1,0
0,47,20.17993981,771,16.33,1,2,69.91056923,84.73514359,0.0,0.3663624511082138,1,0
1,37,8.293653676,899,6.67,-1,-1,66.6486859,15.41657051,0.0,0.08254716981132075,1,0
1,31,3.171070503,858,3.83,-1,6,0.0,10.23376026,0.0,0.24358974358974358,1,0
0,54,32.27535591,611,6.67,-1,11,76.62315385,99.00663846,0.0,0.7241379310344828,0,0
1,34,1.531051395,703,0.0,0,-1,66.08436282,33.78203846,0.0,0.5805626598465473,1,0
0,33,2.648245619,885,4.75,0,13,97.81720897,0.882605128,0.0,0.08254716981132075,1,0
1,25,1.448500097,830,0.17,0,-1,10.57296282,11.37123077,0.0,0.24358974358974358,1,0
1,43,1.594891065,712,0.0,0,-1,30.73400641,0.0,0.0,0.5805626598465473,1,0
1,33,1.642220475,418,5.67,-1,56,22.50769231,90.49657692,3.743589744,0.8394698085419735,0,0
0,47,16.62142856,821,24.17,0,6,93.94719744,33.31955897,0.0,0.3663624511082138,1,0
1,32,4.073631354,329,9.83,0,3,82.58175385,97.87616154,0.730769231,0.8394698085419735,0,0
0,47,3.053297318,291,7.17,0,41,112.8408064,89.62737949,6.153846154,0.8394698085419735,0,0
0,47,5.778590816,744,9.5,-1,26,73.39500769,0.0,0.0,0.3663624511082138,1,0
1,25,2.67906477,689,2.17,0,27,0.0,82.09230769,0.0,0.5805626598465473,1,0
1,58,5.140194116,904,7.17,0,8,68.85509359,30.59541923,0.0,0.08254716981132075,1,0
0,35,4.220022321,870,3.42,0,31,68.21975513,73.39358974,0.0,0.24358974358974358,1,0
0,59,1.331827597,798,0.42,0,6,13.60296795,3.2884,0.0,0.3663624511082138,1,0
1,56,5.431875367,938,25.75,0,9,14.20871795,3.773830769,0.0,0.08254716981132075,1,0
0,56,3.626753664,849,15.08,0,60,3.220512821,68.67761026,0.0,0.07563025210084033,1,0
0,46,2.897000195,754,12.5,0,25,42.63658974,43.25221154,0.0,0.3663624511082138,1,0
1,47,8.713014267,672,1.25,-1,8,195.1947128,92.59848462,0.0,0.5805626598465473,1,0
0,48,2.970746021,942,1.17,0,15,0.0,34.43769231,0.0,0.08254716981132075,1,0
1,37,3.992180741,821,3.58,0,4,82.63776667,8.697966667,0.205128205,0.5416666666666666,1,0
0,43,11.29301748,867,11.92,1,28,78.35792179,10.68126154,0.0,0.24358974358974358,1,0
1,55,2.223381609,712,16.92,0,6,93.56525513,0.0,1.153846154,0.6917098445595855,0,0
0,43,15.36774952,881,11.0,1,7,86.12546154,22.65667436,0.0,0.24358974358974358,1,0
1,39,10.71846045,849,11.92,1,3,91.17432308,27.2180141,0.0,0.24358974358974358,1,0
1,47,18.89434094,913,8.08,0,5,0.0,10.56939872,0.0,0.08254716981132075,1,0
0,34,7.154445772,881,11.25,0,4,30.21591538,10.71550897,0.0,0.24358974358974358,1,0
1,57,19.4325754,831,18.92,0,20,36.31996667,46.78251154,0.0,0.07563025210084033,1,0
0,38,12.38159392,890,14.42,0,39,81.06945256,21.35930513,0.0,0.08254716981132075,1,0
0,34,1.315317338,789,0.25,1,3,31.5746,55.63899487,0.333333333,0.5416666666666666,1,0
1,49,2.862878993,671,5.25,0,5,0.0,85.46234231,0.0,0.5805626598465473,1,0
0,44,24.97451917,894,13.75,1,9,72.05023462,18.80561538,0.0,0.08254716981132075,1,0
0,29,2.269610335,693,1.83,0,23,52.92847051,88.17141538,0.0,0.5805626598465473,1,0
1,33,1.767698447,753,0.0,0,-1,91.37534744,0.0,0.0,0.3663624511082138,1,0
0,55,1.667536206,639,0.0,0,-1,0.0,0.0,0.0,0.5805626598465473,1,0
1,36,1.968022929,549,12.75,0,3,70.84769872,116.439559,0.602564103,0.8394698085419735,0,0
1,59,9.91606184,917,23.67,0,2,0.0,3.412969231,0.0,0.08254716981132075,1,0
1,39,3.095123309,757,9.33,0,-1,91.88007692,61.2273141,0.0,0.3663624511082138,1,0
1,35,1.512339767,881,0.83,0,11,92.07417308,0.0,0.0,0.24358974358974358,1,0
0,83,4.522710412,909,16.33,0,-1,0.0,0.175687179,0.0,0.08254716981132075,1,0
1,35,3.12594246,748,11.0,1,23,66.50722692,64.00683846,0.012820513,0.3663624511082138,1,0
1,39,4.584348714,881,3.5,0,30,0.0,0.0,0.0,0.24358974358974358,1,0
1,61,4.648188384,913,3.33,0,-1,0.0,8.400780769,0.0,0.08254716981132075,1,0
0,36,3.180976658,753,4.5,0,49,68.0910359,48.88613846,3.025641026,0.5416666666666666,1,0
1,30,2.433612246,744,3.75,0,14,0.0,65.68276923,0.0,0.3663624511082138,1,0
1,30,5.131388644,817,8.0,1,8,52.86255,32.83450513,0.0,0.3663624511082138,1,0
1,45,1.211853045,739,1.08,0,14,67.70966154,0.0,0.0,0.3663624511082138,1,0
0,49,14.3187977,876,15.75,0,3,75.19426538,28.35122949,0.0,0.07563025210084033,1,0
0,49,2.751709912,853,11.67,-1,2,54.88507436,43.05133718,0.0,0.24358974358974358,1,0
1,45,1.503534296,849,7.83,0,21,0.0,3.587565385,0.0,0.24358974358974358,1,0
0,33,3.390106612,689,10.58,0,19,77.07752821,60.6172141,0.538461538,0.6917098445595855,0,0
1,72,4.281660623,808,8.75,0,25,86.99378846,17.32599487,0.0,0.3663624511082138,1,0
