ID,SEXO,EDAD,INGRESO,SCORE_DATACREDITO,CRED_REESTRUCTURADO,ANT_SF,SALDO_SF,TIENE_HIPOTECA,ULTIMAPERTURA,SALDO_FIJO,SALDO_ROT,ESTADO_MORA_FIN,ESTADO_MORA_REAL,PROB_MORA,PRED_MORA
243791,F,40,3.390106612,844,0,6.83,36.835489,-1,-1,48.90103718,83.36219487,0.0,0.0,0.23837025,0
146971,F,51,3.025780219,766,0,14.17,69.443252,-1,60,83.99814103,12.39645641,0.0,0.0,0.34806624,0
484821,F,55,2.06818517,690,0,0.92,1.646623,0,12,40.06776795,77.87691795,0.0,0.0,0.64856505,1
384771,F,58,4.228827793,904,0,6.83,5.814913,0,7,66.5590359,21.31344359,0.0,0.0,0.090826005,0
41031,M,30,1.712664249,817,0,4.0,0.0,0,49,0.0,2.560261538,0.0,0.0,0.28747752,0
354251,M,55,1.87666616,588,0,0.58,11.488939,0,6,92.55673205,0.0,0.0,0.0,0.7774373,1
73151,F,55,13.1795898,913,0,17.67,130.728234,0,60,70.67369231,22.73699359,0.0,0.0,0.086317554,0
187371,F,57,5.495715037,771,0,4.08,83.671793,0,9,93.74773077,21.59736667,0.384615385,0.0,0.58145785,1
471331,F,59,3.62014956,890,0,20.58,8.427937,0,30,9.400153846,23.78992692,0.076923077,0.0,0.083167166,0
342861,M,36,1.457305569,656,0,3.92,6.977235,0,48,67.11016923,0.0,0.0,0.0,0.56787544,1
318631,M,52,1.859055216,867,0,0.17,0.0,0,-1,0.0,46.34417051,0.0,0.0,0.21977623,0
27211,F,24,1.931700358,532,0,1.75,1.65873,0,22,0.0,60.50083974,2.346153846,2.346153846,0.8508495,1
51311,M,35,2.114413896,602,0,0.0,0.0,0,-1,17.24343718,0.0,0.769230769,0.769230769,0.74414897,1
157361,M,70,3.107230833,671,0,23.83,66.004715,0,3,92.98121026,93.56947821,0.461538462,0.0,0.62163174,1
364111,F,34,3.426429183,794,0,11.0,4.301472,0,60,19.28102564,7.155070513,0.0,0.0,0.31815022,0
33171,M,50,8.102134666,707,0,8.5,107.297974,0,9,74.68986795,105.2119154,0.333333333,0.0,0.7158124,1
122351,F,45,18.00168625,835,0,13.33,354.343188,1,2,74.23671795,18.45392051,0.0,0.0,0.15660945,0
53291,F,34,9.351410966,629,0,12.42,135.197011,0,23,64.1805641,42.4720859,0.0,0.0,0.5739076,1
231991,M,56,2.25970418,798,0,6.08,29.231964,-1,60,0.0,69.37851282,0.0,0.0,0.40566066,1
419311,F,57,3.918434915,766,0,11.75,81.449512,1,13,79.99983718,66.32279615,0.064102564,0.0,0.38875723,0
478151,M,30,5.440680839,938,0,1.42,108.310604,-1,-1,0.0,3.729761538,0.0,0.0,0.09759838,0
433301,F,46,3.262427272,938,0,10.92,10.774595,0,11,82.48799359,29.13411538,0.0,0.0,0.12987407,0
374691,M,27,2.55138543,684,0,0.92,35.226289,0,-1,93.14286923,0.0,0.0,0.0,0.4391374,1
473301,F,35,6.560076431,858,0,11.58,22.067612,0,6,3.600333333,53.88879359,0.179487179,0.0,0.19572416,0
249991,M,63,4.192505222,725,0,5.75,22.777553,0,3,98.86291282,24.80234744,0.0,0.0,0.46724674,1
482501,M,49,13.90934327,872,0,10.42,286.002822,1,28,33.18231923,21.67543333,0.0,0.0,0.14965667,0
535191,M,47,3.144654088,860,0,7.67,25.069177,0,60,78.05304103,50.66658718,0.0,0.0,0.22065362,0
161981,F,41,2.670259299,712,0,6.0,67.402583,-1,5,54.01304231,45.56857564,0.269230769,0.0,0.707154,1
543681,M,44,2.57890253,875,0,0.0,0.0,0,-1,0.0,0.0,0.0,0.0,0.22133906,0
407771,M,38,4.109953925,725,0,12.08,59.020875,0,60,0.47759359,96.6601359,0.153846154,0.0,0.5257834,1
188081,M,34,3.198587602,885,0,2.58,25.306925,0,5,50.90389744,5.084111538,0.0,0.0,0.09621413,0
99871,F,38,14.17350742,840,0,6.83,261.369515,-1,-1,89.31782436,13.30719744,0.0,0.0,0.18273842,0
251861,M,40,1.776503919,739,0,4.33,1.472715,0,14,73.45104103,28.88147821,0.115384615,0.0,0.4889171,1
92581,F,70,4.720833525,336,0,1.83,21.531579,0,6,89.50041538,46.10542436,1.641025641,1.641025641,0.84731555,1
478031,F,67,1.50463498,856,0,31.0,0.779284,0,-1,0.0,6.800074359,0.0,0.0,0.19729996,0
10151,F,38,5.696039518,894,0,9.92,3.182077,0,-1,0.063888462,24.95511538,0.0,0.0,0.08728825,0
31871,M,50,3.790755575,894,0,2.33,3.982274,0,29,15.25567436,10.34664487,0.0,0.0,0.103149466,0
67701,M,34,7.893004713,844,0,1.42,147.395891,1,3,92.96456795,16.84263333,0.0,0.0,0.20862934,0
516441,M,24,1.284498187,666,0,2.42,30.20717,-1,19,0.0,65.70264487,0.0,0.0,0.5240243,1
293791,M,65,9.487895778,966,0,44.17,188.213655,-1,60,0.0,17.87424744,0.012820513,0.0,0.10345406,0
81311,M,50,9.068535187,922,0,13.5,7.0818,1,5,0.0,0.20624359,0.0,0.0,0.073577285,0
487781,F,26,1.859055216,780,0,2.17,0.420461,0,-1,77.84900769,37.45538462,0.0,0.0,0.32160535,0
271291,F,59,2.369772576,827,0,12.17,5.243658,0,36,0.0,75.01124103,0.0,0.0,0.30125237,0
275681,M,39,3.18978213,794,0,7.58,0.0,0,22,76.61858846,49.8463641,0.0,0.0,0.3534149,0
136761,M,36,3.690593334,913,0,10.58,64.104934,1,4,13.37059231,5.337734615,0.0,0.0,0.089278735,0
166531,M,33,2.159541939,794,0,6.08,17.386403,0,-1,76.50887949,86.49901026,0.0,0.0,0.3915565,0
150331,F,42,1.859055216,880,0,13.83,31.718409,-1,60,10.34575513,15.38461538,0.0,0.0,0.15875484,0
140801,M,49,6.507243601,812,0,24.42,44.852871,0,6,77.97311026,47.70002051,0.0,0.0,0.28060246,0
362901,M,49,12.48725958,835,0,14.42,68.793848,0,3,45.83927692,39.11590385,0.41025641,0.0,0.31477126,0
84851,M,48,5.340518598,922,0,27.08,26.493463,0,-1,62.0763141,6.870592308,0.0,0.0,0.07173938,0
124631,F,59,4.720833525,798,0,31.25,30.115813,0,14,85.61797179,22.91843205,0.012820513,0.0,0.2791024,0
196241,M,41,11.55608095,844,0,6.67,70.825711,0,12,51.72688205,39.02615256,0.153846154,0.0,0.23138,0
302131,F,42,1.297706394,759,0,7.42,9.659602,-1,-1,0.0,2.213671795,0.0,0.0,0.36221427,0
426871,M,35,1.950411986,716,0,1.17,6.571083,0,10,84.74784615,64.08461538,0.0,0.0,0.615636,1
125831,F,47,2.168347411,798,0,1.83,8.131853,0,3,45.54070769,0.0,0.0,0.0,0.36564922,0
43331,M,38,2.150736467,821,0,2.0,21.439122,1,11,0.0,68.09443077,0.0,0.0,0.36546716,0
295151,F,45,1.648824579,840,0,0.33,0.0,0,5,12.8205,0.0,0.0,0.0,0.27551898,0
442031,F,54,2.982853545,908,0,16.92,2.438014,0,60,32.26755897,0.0,0.0,0.0,0.096356384,0
386601,M,47,2.351060949,812,0,8.33,18.495893,1,8,81.68837564,40.50835128,0.0,0.0,0.3818049,0
8301,M,37,1.572877386,735,0,0.0,0.0,0,-1,57.92267436,1.207692308,0.0,0.0,0.42778775,1
81301,M,35,2.533774487,661,0,0.67,0.54814,0,9,93.08061538,63.06153846,0.487179487,0.487179487,0.7604707,1
301241,M,33,3.790755575,730,0,9.25,98.258057,1,10,13.22866154,9.961538462,0.0,0.0,0.44395295,1
396111,M,25,1.512339767,725,0,0.0,0.0,0,-1,9.358967949,0.0,0.0,0.0,0.3452496,0
205011,F,56,3.836984302,661,0,5.75,73.393606,1,29,14.86361538,25.24900128,0.0,0.0,0.5513775,1
77501,M,56,14.26486419,830,0,9.33,310.553577,-1,60,43.62577436,31.99424744,0.115384615,0.0,0.24567896,0
120651,M,35,6.921100772,689,0,11.92,151.812936,1,3,64.20965897,41.79045769,0.0,0.0,0.48350185,1
321821,M,49,7.473644122,743,0,8.17,42.796793,1,54,18.09910256,27.39177692,0.0,0.0,0.36748758,0
396201,M,39,3.736822061,744,0,1.08,16.534474,0,8,87.49428974,21.72130513,0.0,0.0,0.41818088,1
33531,M,28,2.497451916,867,0,6.92,7.823661,0,5,53.45621154,12.75951795,0.0,0.0,0.17360745,0
547251,M,28,3.937146542,894,0,5.58,334.158846,-1,8,90.6645641,15.00128205,0.0,0.0,0.09597144,0
317311,M,38,4.675705483,666,0,1.92,37.758963,0,2,95.06172051,24.07918718,0.0,0.0,0.5379185,1
153181,M,57,6.261791076,716,0,4.08,48.926502,0,9,91.32295513,41.43404487,0.0,0.0,0.5388612,1
519651,F,33,3.542000999,856,0,12.75,46.883633,0,60,45.88720385,63.32434359,0.0,0.0,0.18127388,0
105671,F,22,1.220658517,589,0,0.42,0.132082,0,6,41.54558462,6.153846154,0.0,0.0,0.70266354,1
247371,F,39,5.184221475,798,0,12.17,83.758747,0,4,91.23762436,72.5992359,0.0,0.0,0.3469338,0
538301,M,41,1.403372055,593,0,0.17,0.005503,0,-1,25.92147179,0.085461538,0.0,0.0,0.7399548,1
40381,M,35,8.531401412,817,0,7.67,91.325949,1,14,0.0,61.75985385,0.0,0.0,0.29289123,0
413611,M,40,9.370122594,881,0,3.08,282.13722,-1,9,84.91364103,14.52663077,0.0,0.0,0.1273741,0
360691,F,47,2.915711823,418,0,0.58,29.718467,0,8,99.58127436,0.0,5.0,5.0,0.8513146,1
380621,F,40,1.87666616,735,0,0.0,0.0,0,-1,4.122692308,0.0,0.0,0.0,0.42915404,1
124111,M,35,4.593154186,826,0,12.42,72.596711,0,2,88.62003077,26.72237564,0.0,0.0,0.16650212,0
373881,F,45,3.745627532,762,0,1.67,16.670959,0,12,75.13365897,78.9241141,0.0,0.0,0.4314868,1
337251,F,34,2.789133167,605,0,1.83,11.422898,0,17,101.7254808,99.16686667,0.217948718,0.0,0.74437994,1
485891,M,41,2.834261209,730,0,3.67,30.890695,0,45,90.75427051,99.55249487,0.025641026,0.025641026,0.49657643,1
121841,F,46,3.262427272,966,0,2.25,0.705538,0,28,4.991817949,5.041794872,0.0,0.0,0.13521412,0
177771,F,34,1.74898682,812,0,1.67,0.0,0,19,80.70011923,14.9615359,0.0,0.0,0.3726408,0
92281,M,39,2.87058378,687,0,5.33,75.140392,0,8,88.24714103,59.58433846,0.0,0.0,0.60808516,1
506021,M,34,4.501797416,745,0,2.5,36.123347,0,8,52.22706154,42.58132179,0.0,0.0,0.37709796,0
363031,F,57,5.76868466,835,0,13.0,8.138457,0,10,79.98351282,40.11702051,0.0,0.0,0.17399046,0
234361,M,38,11.35685715,643,0,12.33,85.677239,0,9,45.20400897,72.81872821,0.115384615,0.0,0.63929754,1
297681,M,41,2.050574226,616,0,6.17,1.613602,0,18,9.034891026,26.24956667,0.012820513,0.012820513,0.6540205,1
21911,M,40,1.995540028,836,0,0.67,1.393465,0,-1,0.0,67.72435897,0.0,0.0,0.29963312,0
202491,F,34,1.457305569,771,0,0.0,0.0,0,-1,16.03649231,0.0,0.0,0.0,0.36386722,0
191511,M,46,3.117136988,690,0,4.08,68.8775,0,4,87.20708846,66.54464103,0.128205128,0.0,0.7062568,1
451101,F,34,10.44549083,844,0,7.92,166.0778,1,3,9.069519231,56.11040769,0.102564103,0.0,0.2056097,0
228481,F,50,2.687870242,870,0,4.5,13.553822,0,38,49.72333718,51.0217,0.0,0.0,0.21214037,0
532671,F,38,3.31746147,776,0,8.83,4.69992,0,15,33.79596795,62.23122179,0.217948718,0.0,0.4464332,1
417921,M,31,7.601323462,822,0,11.75,13.833396,0,8,81.0793859,26.15763974,0.0,0.0,0.17051324,0
62291,F,65,2.606419629,942,0,7.42,1.643321,0,16,0.0,14.95876667,0.0,0.0,0.16988929,0
489211,F,32,1.795215546,858,0,0.0,0.0,0,-1,221.8251577,0.0,0.0,0.0,0.30989558,0
189291,M,64,3.81717199,923,0,13.67,1.436392,0,48,0.0,4.858791026,0.0,0.0,0.120298326,0
144421,M,35,2.99826312,875,0,2.58,19.559154,0,27,89.28014103,1.530892308,0.0,0.0,0.17996833,0
377921,M,37,1.576179437,534,0,0.08,2.477639,0,-1,0.0,24.73626154,0.0,0.0,0.76925445,1
259161,F,67,6.479726502,876,0,11.33,48.754796,0,3,69.29586538,22.82142051,0.0,0.0,0.126627,0
48091,F,40,1.594891065,844,0,0.0,0.0,0,-1,0.0,0.0,0.0,0.0,0.2576264,0
63231,F,52,3.326266942,753,0,6.25,32.622071,0,30,83.83848974,96.77543974,0.128205128,0.0,0.5164457,1
81881,M,52,9.551735448,889,0,12.25,115.097421,1,26,0.0,9.942594872,0.0,0.0,0.07628529,0
382591,F,41,7.218285442,771,0,16.75,18.039109,0,26,0.0,45.91482179,0.08974359,0.0,0.2917121,0
344621,F,31,7.956844383,794,0,3.17,15.163022,0,4,47.70524231,47.0738641,0.0,0.0,0.30674973,0
436921,M,36,1.986734556,704,0,2.83,23.349909,1,24,75.46240641,32.35918974,0.012820513,0.0,0.5665638,1
99561,F,35,2.25970418,748,0,6.17,11.875279,0,2,15.60506154,52.80057179,0.0,0.0,0.41404164,1
146011,M,22,1.822732646,870,0,0.92,0.0,0,12,64.28729615,37.97115385,0.0,0.0,0.17601238,0
159871,F,60,5.286585083,885,0,15.5,11.084988,0,6,15.37412436,20.48064615,0.0,0.0,0.07052267,0
23561,F,31,1.81282649,798,0,1.17,9.650797,0,15,87.92433205,15.00128205,0.0,0.0,0.35592547,0
122381,F,56,5.732362089,793,0,16.75,493.527978,0,20,91.49130385,72.8453359,0.115384615,0.0,0.40714428,1
459641,M,32,2.989457648,634,0,3.58,52.303401,-1,21,86.82732949,68.22806026,0.0,0.0,0.6502992,1
31101,M,36,1.695053306,691,0,1.0,1.456204,0,2,57.86914103,0.0,0.0,0.076923077,0.56054753,1
151571,F,39,3.2536218,721,0,3.0,43.712562,0,4,94.68658205,62.104,0.0,0.0,0.59874773,1
91401,M,59,1.959217457,899,0,2.42,3.906327,0,30,41.69660513,2.567758974,0.0,0.0,0.1349479,0
97651,F,61,2.296026751,826,0,9.92,3.544202,0,60,55.35466026,57.03340256,0.846153846,0.846153846,0.5081017,1
295391,M,32,7.984361482,827,0,8.17,109.986945,1,46,70.61452051,32.52461154,0.0,0.0,0.21420373,0
291431,F,72,6.431296407,894,0,12.92,37.109559,0,14,5.804487179,18.35700769,0.0,0.0,0.0700307,0
73141,F,75,3.12594246,785,0,19.0,17.877308,0,7,90.73466026,97.17612949,0.0,0.0,0.37774077,0
484931,F,62,18.24713877,889,0,21.92,261.010692,1,60,0.0,24.21397436,0.0,0.0,0.09031223,0
47201,F,70,4.056020411,909,0,8.75,0.0,0,60,3.809826923,0.0,0.0,0.0,0.10732767,0
294071,M,37,3.462751753,858,0,0.67,0.0,0,9,21.36166154,0.0,0.0,0.0,0.2117743,0
541941,F,67,1.758892976,876,0,10.25,6.348745,0,6,81.25128333,28.32408462,0.0,0.0,0.23688336,0
23321,F,29,3.963562958,803,0,0.5,40.824368,0,-1,91.90285256,0.0,0.0,0.0,0.31013197,0
2551,M,61,7.984361482,890,0,26.75,64.844594,0,2,17.56647692,8.956973077,0.0,0.0,0.07112353,0
73731,F,43,6.904590512,853,0,4.08,69.87582,0,-1,31.20382308,0.0,0.102564103,0.0,0.19930622,0
22621,M,47,1.88216958,617,0,12.42,5.095066,1,60,32.89477564,59.02750385,0.0,0.0,0.6476097,1
384701,M,41,9.68822026,583,0,8.08,22.000471,0,31,0.607169231,84.76028333,0.346153846,0.0,0.79897696,1
171061,F,51,15.71336428,849,0,10.58,272.967421,1,5,81.61751795,25.77123333,0.0,0.0,0.16184154,0
153391,F,31,1.804021018,648,0,1.08,0.468891,0,14,57.20820513,0.0,0.0,0.0,0.5752324,1
521361,F,35,1.622408164,876,0,7.67,10.823025,0,5,83.10157179,1.533555128,0.0,0.0,0.21500142,0
91881,M,35,5.650911476,860,0,8.33,49.297433,1,44,61.30528462,0.280769231,2.256410256,0.0,0.44240195,1
48971,F,35,1.512339767,575,0,1.0,6.776911,0,2,73.15998077,0.0,1.461538462,1.461538462,0.8601473,1
414891,F,45,3.372495668,894,0,12.25,9.764167,0,4,27.88846154,16.77536026,0.0,0.0,0.07512109,0
169041,M,27,2.396188991,744,0,0.92,37.469483,0,-1,95.04465128,0.0,0.0,0.0,0.35438237,0
349961,F,38,10.59078111,894,0,10.25,333.986038,-1,9,0.0,40.55223974,0.0,0.0,0.094987616,0
457261,M,38,4.501797416,729,0,3.42,4.432454,0,26,14.36898462,37.66295385,1.538461538,0.0,0.6060069,1
498961,F,55,5.83252433,952,0,14.42,0.01761,0,60,0.0,53.36858846,0.012820513,0.0,0.109254785,0
166921,F,57,2.06818517,899,0,12.17,0.0,0,60,2.038846154,0.0,0.0,0.0,0.118145175,0
486651,F,40,2.32354385,830,0,8.17,4.592053,0,49,71.61887692,11.00347436,0.0,0.0,0.26258847,0
278871,F,39,2.260804864,639,0,0.0,0.0,0,-1,0.0,0.0,0.0,0.0,0.56913084,1
228651,F,34,1.590488329,386,0,0.0,0.0,0,-1,313.3060936,0.0,6.0,6.0,0.7454701,1
453161,M,39,2.779227011,858,0,7.75,32.790476,0,12,95.16505641,20.68752436,0.08974359,0.0,0.30896646,0
113901,M,40,1.867860688,853,0,9.58,29.519243,-1,5,34.18460769,30.92958333,0.102564103,0.0,0.2690683,0
35141,M,39,2.442417718,876,0,12.08,32.181797,-1,7,0.0,4.92665,0.0,0.0,0.19007555,0
494941,M,47,5.1412948,862,0,12.92,26.219392,0,17,58.92462564,53.19530769,0.0,0.0,0.13885316,0
394951,M,38,22.91403878,716,0,9.17,351.027928,0,2,90.93076282,94.11574487,0.0,0.0,0.54525304,1
280551,F,64,13.48998268,666,0,17.0,227.752425,0,2,94.99211282,96.10794231,0.166666667,0.166666667,0.57446986,1
250171,M,61,3.545303051,780,0,5.67,2.38188,0,19,0.0,16.50752179,0.0,0.0,0.35165387,0
501201,F,55,1.41878163,774,0,1.67,1.78751,0,-1,4.481596154,51.0974359,0.0,0.0,0.3977251,1
304491,M,36,8.065812095,812,0,10.75,60.240433,0,4,58.70623846,56.53567436,0.0,0.0,0.33205798,0
84951,M,38,26.39660285,858,0,9.5,224.124571,1,5,54.75297436,14.25397564,0.115384615,0.0,0.23117621,0
462871,M,40,3.536497579,583,0,0.67,9.02891,0,4,93.22087949,44.56030256,0.384615385,0.384615385,0.8451749,1
478081,F,33,5.696039518,947,0,1.5,3.459449,0,17,0.691632051,11.50195256,0.243589744,0.0,0.2144256,0
504731,F,26,2.460028661,785,0,4.75,10.978221,0,29,90.34549103,46.00118462,0.0,0.0,0.33990076,0
531981,M,42,5.185322159,789,0,12.5,503.441838,1,28,144.2231231,117.5212615,0.692307692,0.0,0.5663412,1
423311,F,38,2.396188991,666,0,0.0,0.0,0,-1,53.44119231,0.0,0.0,0.0,0.52972615,1
44051,F,28,4.437957746,602,0,0.58,48.447705,0,8,100.6740679,0.0,0.307692308,0.307692308,0.7239852,1
240521,F,42,2.682366822,904,0,14.58,42.954191,1,60,26.06135897,3.495260256,0.0,0.0,0.11203269,0
218631,F,21,1.695053306,689,0,0.67,4.294868,0,3,34.23827051,36.43466154,0.0,0.0,0.48690858,1
292101,M,38,6.434598459,661,0,7.5,84.730651,0,4,87.90365385,75.43254103,0.0,0.0,0.6048348,1
446701,F,21,1.576179437,862,0,2.42,0.0,0,5,76.58521026,0.0,0.0,0.0,0.21752523,0
109931,F,55,3.134747932,657,0,2.67,2.740703,0,12,0.0,82.70360513,0.0,0.0,0.62670547,1
276361,F,43,4.06702725,827,0,6.83,11.552778,0,38,79.45482179,45.90931538,0.0,0.0,0.23409502,0
178051,M,51,3.153459559,890,0,13.08,0.0,0,60,0.0,6.47419359,0.0,0.0,0.08997021,0
266881,F,51,3.453946282,803,0,3.33,5.190825,0,3,92.55905385,50.04432051,0.0,0.0,0.3861446,0
81061,M,59,2.789133167,656,0,5.75,4.095645,0,29,93.1918641,34.77377949,0.307692308,0.0,0.72574145,1
364091,M,44,4.315781826,904,0,8.25,8.317868,0,19,60.99988974,26.7288641,0.0,0.0,0.09001211,0
194401,M,44,2.086896797,443,0,5.08,34.626416,0,25,63.16568462,62.50020128,0.782051282,0.782051282,0.86497307,1
10621,M,59,6.079077538,917,0,24.42,28.236946,0,5,16.06815897,12.2304641,0.0,0.0,0.07356105,0
95941,M,34,1.420982998,851,0,8.33,0.0,0,60,0.0,0.0,0.0,0.0,0.24916428,0
360921,F,31,3.654270763,652,0,2.5,40.407209,0,31,87.43270385,0.0,0.525641026,0.0,0.70481783,1
47751,M,41,2.648245619,757,0,1.75,104.144515,-1,22,85.87801795,0.0,0.0,0.0,0.3690501,0
382941,M,32,6.044956335,602,0,5.92,125.847801,-1,14,97.03551154,85.29619487,0.564102564,0.192307692,0.78311104,1
524881,M,57,4.201310694,872,0,8.75,0.0,0,6,0.0,0.633842308,0.0,0.0,0.1591685,0
234801,M,40,4.146276496,712,0,6.17,54.852585,0,7,92.31446538,43.54457436,0.0,0.0,0.56240785,1
55671,F,58,16.44091639,826,0,12.58,186.913748,0,8,76.61920128,35.64638846,0.307692308,0.0,0.3046525,0
407621,M,48,15.57687947,766,0,11.67,109.857065,0,2,50.73274744,60.44335256,0.0,0.0,0.3254979,0
524981,F,41,4.337795506,657,0,7.0,61.638302,-1,31,23.18251667,98.38908718,0.0,0.0,0.5928609,1
97611,F,38,1.959217457,443,0,1.25,2.451223,0,-1,52.67395128,45.81348205,1.692307692,1.692307692,0.8818079,1
482491,F,43,5.414264423,913,0,9.33,8.333278,0,3,23.40221026,11.09826795,0.0,0.0,0.08788039,0
76881,F,36,14.12727869,794,0,17.58,316.164864,-1,22,52.13613077,24.08059103,0.307692308,0.0,0.4031603,1
363711,F,35,4.156182651,675,0,7.08,14.59727,0,16,25.54336538,53.67701795,0.0,0.0,0.5514876,1
490951,M,26,2.287221279,794,0,2.17,18.39463,0,8,79.5504641,21.04854744,0.0,0.0,0.3379315,0
83801,M,35,4.156182651,917,0,1.58,31.201088,0,4,93.26388846,2.818435897,0.0,0.0,0.108486034,0
438811,M,41,1.467211725,640,0,1.0,0.023114,0,13,19.27413718,0.0,5.0,5.0,0.74015784,1
13251,F,39,2.697776398,826,0,6.42,22.021384,-1,45,68.25592436,59.41639872,0.0,0.0,0.28361845,0
516541,F,51,11.51205359,780,0,4.83,120.994886,0,59,93.35476667,57.13711923,0.0,0.0,0.41246048,1
447421,F,42,5.376841169,680,0,6.17,13.265443,0,14,159.0076962,79.01950128,0.0,0.0,0.6116413,1
164381,M,29,1.740181348,739,0,0.0,0.0,0,-1,0.0,5.580351282,0.0,0.0,0.31623808,0
235851,M,39,4.037308783,771,0,5.08,127.119091,-1,3,91.64757821,23.13906026,0.333333333,0.333333333,0.57598656,1
85461,M,43,4.273955836,942,0,5.92,3.144654,0,-1,0.0,11.3419359,0.0,0.0,0.11413532,0
15121,F,49,2.178253566,687,0,10.42,6.524854,0,50,74.50578205,93.48582051,0.0,0.0,0.61010283,1
191351,M,47,20.17993981,771,0,16.33,756.157776,1,2,69.91056923,84.73514359,0.0,0.0,0.33143598,0
232821,F,37,8.293653676,899,0,6.67,299.359622,-1,-1,66.6486859,15.41657051,0.0,0.0,0.082790114,0
517951,F,31,3.171070503,858,0,3.83,64.343783,-1,6,0.0,10.23376026,0.0,0.0,0.19506598,0
27201,M,54,32.27535591,611,0,6.67,882.183889,-1,11,76.62315385,99.00663846,0.0,0.0,0.69740915,1
316811,F,34,1.531051395,703,0,0.0,0.0,0,-1,66.08436282,33.78203846,0.0,0.0,0.57400274,1
154271,M,33,2.648245619,885,0,4.75,19.884956,0,13,97.81720897,0.882605128,0.0,0.0,0.15584509,0
499091,F,25,1.448500097,830,0,0.17,1.871162,0,-1,10.57296282,11.37123077,0.0,0.0,0.21609402,0
262461,F,43,1.594891065,712,0,0.0,0.0,0,-1,30.73400641,0.0,0.0,0.0,0.52358043,1
139191,F,33,1.642220475,418,0,5.67,32.294067,-1,56,22.50769231,90.49657692,3.743589744,3.743589744,0.8478694,1
